index,Course,Grade,Section_Grade,Course_Type,Cluster
1274,Chinese III Honors,10,94.59,Foreign Language,1
1275,Geometry,10,93.46,Math,1
1276,Biology Honors,10,84.7,Science,2
1277,United States History AP,10,91.69,Humanities,0
1278,English Language and Composition AP,10,94.69,English,1
1279,Spanish III Honors,10,90.26,Foreign Language,0
1280,Geometry Honors,10,92.1,Math,0
1281,Computer Science A AP,10,89.02,Science,0
1282,Biology Honors,10,92.78,Science,0
1283,United States History AP,10,92.8,Humanities,0
1284,English II Honors,10,94.2,English,1
1285,Spanish III Honors,10,86.91,Foreign Language,0
1286,Geometry,10,85.11,Math,2
1287,Biology,10,84.86,Science,2
1288,United States History Honors,10,86.82,Humanities,0
1289,English Language and Composition AP,10,93.15,English,0
1290,Chinese III Honors,10,97.06,Foreign Language,1
1291,Calculus AB AP,10,92.5,Math,0
1292,Biology Honors,10,96.87,Science,1
1293,United States History AP,10,94.32,Humanities,1
1294,English Language and Composition AP,10,93.67,English,1
1295,Chinese III,10,98.02,Foreign Language,1
1296,Geometry,10,96.33,Math,1
1297,Biology,10,98.67,Science,1
1298,United States History Honors,10,97.82,Humanities,1
1299,Holocaust History Honors,10,99.92,Humanities,1
1300,English II Honors,10,93.71,English,1
1301,Spanish Language and Culture AP (for Heritage Speakers),10,93.5,Foreign Language,1
1302,Pre-Calculus Honors,10,81.51,Math,2
1303,Computer Science Principles AP,10,90.01,Science,0
1304,Biology Honors,10,90.09,Science,0
1305,United States History AP,10,87.63,Humanities,0
1306,English II Honors,10,93.24,English,0
1307,Spanish III Honors,10,91.6,Foreign Language,0
1308,Pre-Calculus,10,95.6,Math,1
1309,Computer Science Principles AP,10,93.94,Science,1
1310,Biology,10,93.47,Science,1
1311,United States History AP,10,90.0,Humanities,0
1312,Social Entrepreneurship I Honors,10,96.89,Entrepreneurship,1
1313,English Language and Composition AP,10,87.8,English,0
1314,Spanish III,10,94.65,Foreign Language,1
1315,Geometry Honors,10,89.76,Math,0
1316,Biology,10,93.51,Science,1
1317,United States History AP,10,86.57,Humanities,2
1318,Psychology AP,10,89.72,Psychology,0
1319,English Language and Composition AP,10,92.8,English,0
1320,Talented Writers Program I Honors,10,91.62,English,0
1321,French III Honors,10,87.77,Foreign Language,0
1322,Geometry Honors,10,84.43,Math,2
1323,Biology Honors,10,90.85,Science,0
1324,United States History AP,10,89.83,Humanities,0
1325,English Language and Composition AP,10,95.45,English,1
1326,Spanish III Honors,10,95.58,Foreign Language,1
1327,Calculus AB AP,10,95.14,Math,1
1328,Computer Science A AP,10,94.75,Science,1
1329,Biology Honors,10,94.76,Science,1
1330,Science Research I Honors,10,95.0,Science,1
1331,United States History AP,10,96.92,Humanities,1
1332,English II Honors,10,89.37,English,0
1333,Spanish III,10,92.64,Foreign Language,0
1334,Pre-Calculus,10,95.18,Math,1
1335,Computer Science A AP,10,90.52,Science,0
1336,Biology Honors,10,86.95,Science,0
1337,United States History AP,10,86.95,Humanities,0
1338,English II Honors,10,88.65,English,0
1339,Latin II Honors,10,93.4,Foreign Language,1
1340,Pre-Calculus Honors,10,85.27,Math,2
1341,Computer Science Principles AP,10,95.26,Science,1
1342,Biology Honors,10,84.79,Science,2
1343,United States History AP,10,88.21,Humanities,0
1344,Social Entrepreneurship I Honors,10,96.44,Entrepreneurship,1
1345,English II Honors,10,89.86,English,0
1346,Spanish III Honors,10,83.0,Foreign Language,2
1347,Pre-Calculus Honors,10,81.72,Math,2
1348,Computer Science A AP,10,86.6,Science,2
1349,Biology Honors,10,86.81,Science,0
1350,Anatomy and Physiology Honors,10,84.24,Science,2
1351,United States History AP,10,79.32,Humanities,2
1352,English Language and Composition AP,10,93.64,English,1
1353,Spanish III Honors,10,96.19,Foreign Language,1
1354,Calculus AB AP,10,90.54,Math,0
1355,Computer Science A AP,10,92.17,Science,0
1356,Biology Honors,10,91.36,Science,0
1357,United States History AP,10,92.54,Humanities,0
1358,English Language and Composition AP,10,97.49,English,1
1359,French III Honors,10,95.15,Foreign Language,1
1360,Calculus BC AP,10,98.12,Math,1
1361,Computer Science Principles AP,10,99.16,Science,1
1362,Chemistry AP,10,99.86,Science,1
1363,Science Research I Honors,10,95.0,Science,1
1364,United States History AP,10,98.22,Humanities,1
1365,English Language and Composition AP,10,90.76,English,0
1366,Spanish III Honors,10,92.92,Foreign Language,0
1367,Pre-Calculus Honors,10,86.88,Math,0
1368,Computer Science A AP,10,89.01,Science,0
1369,Biology Honors,10,93.87,Science,1
1370,United States History AP,10,91.2,Humanities,0
1371,English Language and Composition AP,10,84.62,English,2
1372,Spanish III,10,84.31,Foreign Language,2
1373,Algebra II Honors,10,80.43,Math,2
1374,Chemistry,10,89.79,Science,0
1375,United States History Honors,10,89.15,Humanities,0
1376,English Language and Composition AP,10,89.7,English,0
1377,Latin II Honors,10,94.75,Foreign Language,1
1378,Pre-Calculus,10,89.64,Math,0
1379,Biology Honors,10,82.06,Science,2
1380,United States History AP,10,82.88,Humanities,2
1381,English Language and Composition AP,10,88.48,English,0
1382,Talented Writers Program I Honors,10,83.12,English,2
1383,Spanish III,10,90.83,Foreign Language,0
1384,Geometry Honors,10,83.97,Math,2
1385,Biology,10,93.28,Science,0
1386,United States History AP,10,83.81,Humanities,2
1387,English Language and Composition AP,10,95.54,English,1
1388,Spanish III Honors,10,95.74,Foreign Language,1
1389,Pre-Calculus Honors,10,92.64,Math,0
1390,Computer Science A AP,10,95.47,Science,1
1391,Biology Honors,10,92.85,Science,0
1392,United States History AP,10,95.08,Humanities,1
1393,Psychology AP,10,95.17,Psychology,1
1394,English Language and Composition AP,10,89.61,English,0
1395,Spanish III Honors,10,88.08,Foreign Language,0
1396,Calculus I Honors,10,93.73,Math,1
1397,Computer Science Principles AP,10,98.47,Science,1
1398,Biology Honors,10,89.6,Science,0
1399,United States History AP,10,89.7,Humanities,0
1400,English II Honors,10,93.11,English,0
1401,Spanish II,10,90.86,Foreign Language,0
1402,Geometry Honors,10,96.5,Math,1
1403,Computer Science Principles AP,10,96.25,Science,1
1404,Biology Honors,10,91.77,Science,0
1405,United States History AP,10,94.07,Humanities,1
1406,English Language and Composition AP,10,96.23,English,1
1407,Spanish IV Honors,10,99.07,Foreign Language,1
1408,Calculus AB AP,10,98.2,Math,1
1409,Computer Science A AP,10,95.23,Science,1
1410,Biology Honors,10,93.87,Science,1
1411,Science Research I Honors,10,95.0,Science,1
1412,United States History AP,10,92.97,Humanities,0
1413,English II Honors,10,86.47,English,2
1414,French III,10,81.86,Foreign Language,2
1415,Geometry Honors,10,82.65,Math,2
1416,Computer Science Principles AP,10,93.01,Science,0
1417,Biology Honors,10,86.82,Science,0
1418,United States History Honors,10,85.09,Humanities,2
1419,English Language and Composition AP,10,92.73,English,0
1420,Talented Writers Program I Honors,10,91.57,English,0
1421,Spanish III,10,93.95,Foreign Language,1
1422,Pre-Calculus,10,94.04,Math,1
1423,Biology Honors,10,85.86,Science,2
1424,United States History AP,10,87.88,Humanities,0
1425,English II Honors,10,88.19,English,0
1426,Latin II Honors,10,91.53,Foreign Language,0
1427,Geometry,10,88.12,Math,0
1428,Biology,10,94.14,Science,1
1429,United States History Honors,10,93.76,Humanities,1
1430,English Language and Composition AP,10,90.3,English,0
1431,Latin II Honors,10,97.08,Foreign Language,1
1432,Pre-Calculus,10,89.63,Math,0
1433,Biology,10,94.25,Science,1
1434,United States History AP,10,83.33,Humanities,2
1435,English Language and Composition AP,10,94.35,English,1
1436,Latin II Honors,10,100.23,Foreign Language,1
1437,Pre-Calculus Honors,10,93.65,Math,1
1438,Biology Honors,10,91.85,Science,0
1439,United States History AP,10,93.85,Humanities,1
1440,Social Entrepreneurship I Honors,10,96.89,Entrepreneurship,1
1441,English II Honors,10,90.35,English,0
1442,Spanish Language and Culture AP (for Heritage Speakers),10,88.7,Foreign Language,0
1443,Geometry,10,88.21,Math,0
1444,Computer Science Principles AP,10,93.04,Science,0
1445,Biology Honors,10,86.96,Science,0
1446,United States History AP,10,84.36,Humanities,2
1447,English Language and Composition AP,10,96.82,English,1
1448,French III Honors,10,92.12,Foreign Language,0
1449,Geometry Honors,10,97.53,Math,1
1450,Biology Honors,10,96.93,Science,1
1451,Anatomy and Physiology Honors,10,97.91,Science,1
1452,United States History AP,10,98.29,Humanities,1
1453,Psychology AP,10,95.15,Psychology,1
1454,English Language and Composition AP,10,92.52,English,0
1455,Spanish Language and Culture AP (for Heritage Speakers),10,92.12,Foreign Language,0
1456,Pre-Calculus Honors,10,86.52,Math,2
1457,Computer Science A AP,10,91.1,Science,0
1458,Biology Honors,10,94.53,Science,1
1459,United States History AP,10,97.71,Humanities,1
1460,English Language and Composition AP,10,91.52,English,0
1461,French III,10,89.89,Foreign Language,0
1462,Geometry,10,93.88,Math,1
1463,Biology Honors,10,93.38,Science,1
1464,United States History AP,10,89.58,Humanities,0
1465,International Relations Honors,10,96.28,Law and Politics,1
1466,English Language and Composition AP,10,97.62,English,1
1467,Spanish III Honors,10,94.91,Foreign Language,1
1468,Calculus AB AP,10,91.25,Math,0
1469,Biology Honors,10,96.94,Science,1
1470,Anatomy and Physiology Honors,10,96.53,Science,1
1471,United States History AP,10,93.36,Humanities,0
1472,Social Entrepreneurship I Honors,10,99.82,Entrepreneurship,1
1473,English II Honors,10,97.32,English,1
1474,Spanish III,10,96.74,Foreign Language,1
1475,Pre-Calculus Honors,10,95.1,Math,1
1476,Biology Honors,10,89.7,Science,0
1477,United States History AP,10,89.83,Humanities,0
1478,English Language and Composition AP,10,93.72,English,1
1479,Latin II Honors,10,95.23,Foreign Language,1
1480,Pre-Calculus Honors,10,86.23,Math,2
1481,Computer Science A AP,10,92.01,Science,0
1482,Biology Honors,10,90.76,Science,0
1483,United States History AP,10,86.36,Humanities,2
1484,English Language and Composition AP,10,94.9,English,1
1485,Latin II Honors,10,99.07,Foreign Language,1
1486,Geometry Honors,10,96.55,Math,1
1487,Computer Science A AP,10,92.62,Science,0
1488,Biology Honors,10,93.15,Science,0
1489,United States History AP,10,93.47,Humanities,1
1490,English II Honors,10,93.65,English,1
1491,Spanish III Honors,10,95.11,Foreign Language,1
1492,Pre-Calculus Honors,10,86.06,Math,2
1493,Computer Science A AP,10,89.75,Science,0
1494,Biology Honors,10,92.5,Science,0
1495,United States History AP,10,90.93,Humanities,0
1496,International Relations Honors,10,94.19,Law and Politics,1
1497,English Language and Composition AP,10,93.33,English,0
1498,Talented Writers Program I Honors,10,89.79,English,0
1499,Latin II Honors,10,91.4,Foreign Language,0
1500,Biology Honors,10,79.78,Science,2
1501,United States History AP,10,89.32,Humanities,0
1502,International Relations Honors,10,96.28,Law and Politics,1
1503,English Language and Composition AP,10,95.12,English,1
1504,Chinese III Honors,10,93.21,Foreign Language,0
1505,Geometry Honors,10,95.08,Math,1
1506,Biology Honors,10,93.81,Science,1
1507,United States History AP,10,92.48,Humanities,0
1508,Psychology AP,10,93.65,Psychology,1
1509,English II Honors,10,84.58,English,2
1510,Spanish III Honors,10,87.41,Foreign Language,0
1511,Geometry,10,87.56,Math,0
1512,Biology Honors,10,78.7,Science,2
1513,United States History AP,10,81.19,Humanities,2
1514,International Relations Honors,10,92.09,Law and Politics,0
1515,English Language and Composition AP,10,93.33,English,0
1516,Chinese III Honors,10,97.1,Foreign Language,1
1517,Geometry Honors,10,91.08,Math,0
1518,Biology Honors,10,90.69,Science,0
1519,United States History AP,10,87.54,Humanities,0
1520,Psychology AP,10,93.22,Psychology,0
1521,Social Entrepreneurship I Honors,10,98.38,Entrepreneurship,1
1522,English Language and Composition AP,10,96.82,English,1
1523,French III Honors,10,96.66,Foreign Language,1
1524,Calculus AB AP,10,97.37,Math,1
1525,Chemistry AP,10,97.97,Science,1
1526,Science Research I Honors,10,95.0,Science,1
1527,United States History AP,10,97.88,Humanities,1
1528,English II Honors,10,87.6,English,0
1529,Spanish III,10,93.1,Foreign Language,0
1530,Geometry,10,79.6,Math,2
1531,Biology,10,93.17,Science,0
1532,United States History Honors,10,86.45,Humanities,2
1533,English Language and Composition AP,10,93.94,English,1
1534,Spanish Language and Culture AP (for Heritage Speakers),10,92.6,Foreign Language,0
1535,Geometry Honors,10,89.52,Math,0
1536,Computer Science Principles AP,10,94.9,Science,1
1537,Biology Honors,10,91.28,Science,0
1538,United States History AP,10,88.05,Humanities,0
1539,English II Honors,10,93.57,English,1
1540,Chinese III,10,76.3,Foreign Language,2
1541,Geometry,10,82.27,Math,2
1542,Biology,10,92.41,Science,0
1543,United States History Honors,10,80.81,Humanities,2
1544,English II Honors,10,88.46,English,0
1545,Spanish III,10,90.15,Foreign Language,0
1546,Pre-Calculus,10,90.82,Math,0
1547,Computer Science A AP,10,85.15,Science,2
1548,Biology Honors,10,87.65,Science,0
1549,United States History Honors,10,93.29,Humanities,0
1550,English Language and Composition AP,10,92.52,English,0
1551,Spanish III Honors,10,91.6,Foreign Language,0
1552,Pre-Calculus Honors,10,83.78,Math,2
1553,Biology Honors,10,86.57,Science,2
1554,United States History AP,10,88.22,Humanities,0
1555,International Relations Honors,10,97.21,Law and Politics,1
1556,English II Honors,10,90.82,English,0
1557,Chinese III,10,85.52,Foreign Language,2
1558,Geometry,10,86.83,Math,0
1559,Biology,10,91.13,Science,0
1560,United States History AP,10,82.46,Humanities,2
1561,International Relations Honors,10,93.26,Law and Politics,0
1562,English Language and Composition AP,10,89.09,English,0
1563,Spanish III Honors,10,94.41,Foreign Language,1
1564,Pre-Calculus Honors,10,80.17,Math,2
1565,Biology Honors,10,92.65,Science,0
1566,United States History AP,10,96.86,Humanities,1
1567,Government and Politics: United States AP,10,91.33,Humanities,0
1568,English II Honors,10,88.14,English,0
1569,Latin II Honors,10,87.58,Foreign Language,0
1570,Geometry,10,86.78,Math,0
1571,Biology,10,96.13,Science,1
1572,United States History Honors,10,90.95,Humanities,0
1573,Constitutional Law Honors,10,97.07,Law and Politics,1
1574,English II Honors,10,89.92,English,0
1575,Fundamentals of Music Theory,10,99.73,Arts,1
1576,Latin II Honors,10,95.13,Foreign Language,1
1577,Geometry,10,90.11,Math,0
1578,Biology,10,83.78,Science,2
1579,United States History Honors,10,92.16,Humanities,0
1580,English II Honors,10,90.16,English,0
1581,Spanish III Honors,10,85.63,Foreign Language,2
1582,Geometry,10,87.02,Math,0
1583,Computer Science Principles AP,10,78.89,Science,2
1584,Biology,10,91.55,Science,0
1585,United States History AP,10,83.56,Humanities,2
1586,English Language and Composition AP,10,93.03,English,0
1587,Spanish III Honors,10,97.52,Foreign Language,1
1588,Calculus AB AP,10,97.0,Math,1
1589,Computer Science A AP,10,95.74,Science,1
1590,Biology Honors,10,96.62,Science,1
1591,United States History AP,10,97.69,Humanities,1
1592,English Language and Composition AP,10,94.04,English,1
1593,Spanish III Honors,10,86.35,Foreign Language,2
1594,Geometry Honors,10,91.6,Math,0
1595,Biology Honors,10,90.78,Science,0
1596,United States History AP,10,89.66,Humanities,0
1597,International Relations Honors,10,97.44,Law and Politics,1
1598,English II Honors,10,86.47,English,2
1599,Spanish III Honors,10,84.71,Foreign Language,2
1600,Geometry,10,89.83,Math,0
1601,Biology Honors,10,88.23,Science,0
1602,Marine Science Honors,10,97.31,Science,1
1603,United States History AP,10,85.77,Humanities,2
1604,English Language and Composition AP,10,94.13,English,1
1605,French III Honors,10,93.51,Foreign Language,1
1606,Geometry Honors,10,94.45,Math,1
1607,Biology Honors,10,91.87,Science,0
1608,United States History AP,10,89.07,Humanities,0
1609,Psychology AP,10,96.35,Psychology,1
1610,English Language and Composition AP,10,92.71,English,0
1611,Talented Writers Program I Honors,10,95.15,English,1
1612,French III Honors,10,85.94,Foreign Language,2
1613,Algebra II Honors,10,87.41,Math,0
1614,Chemistry,10,95.03,Science,1
1615,United States History Honors,10,95.9,Humanities,1
1616,English II Honors,10,89.34,English,0
1617,Spanish III,10,92.59,Foreign Language,0
1618,Geometry Honors,10,82.0,Math,2
1619,Biology,10,91.92,Science,0
1620,International Relations Honors,10,95.12,Law and Politics,1
1621,English Language and Composition AP,10,92.1,English,0
1622,Spanish Language and Culture AP (for Heritage Speakers),10,94.12,Foreign Language,1
1623,Geometry Honors,10,81.0,Math,2
1624,Biology Honors,10,81.69,Science,2
1625,United States History AP,10,80.6,Humanities,2
1626,International Relations Honors,10,93.49,Law and Politics,1
1627,English II Honors,10,81.64,English,2
1628,Spanish III,10,94.3,Foreign Language,1
1629,Geometry,10,80.86,Math,2
1630,Biology,10,74.08,Science,2
1631,United States History Honors,10,81.59,Humanities,2
1632,English II Honors,10,88.32,English,0
1633,Spanish III Honors,10,84.76,Foreign Language,2
1634,Geometry,10,85.86,Math,2
1635,Computer Science Principles AP,10,81.55,Science,2
1636,Biology,10,89.26,Science,0
1637,United States History Honors,10,90.37,Humanities,0
1638,English Language and Composition AP,10,89.38,English,0
1639,French III Honors,10,92.18,Foreign Language,0
1640,Geometry,10,91.91,Math,0
1641,Biology,10,89.15,Science,0
1642,United States History AP,10,81.45,Humanities,2
1643,English Language and Composition AP,10,89.55,English,0
1644,Talented Writers Program I Honors,10,91.25,English,0
1645,Chinese III Honors,10,90.31,Foreign Language,0
1646,Pre-Calculus Honors,10,86.05,Math,2
1647,Biology Honors,10,85.45,Science,2
1648,United States History Honors,10,91.19,Humanities,0
1649,English Language and Composition AP,10,92.3,English,0
1650,Chinese III Honors,10,97.23,Foreign Language,1
1651,Pre-Calculus Honors,10,90.88,Math,0
1652,Computer Science A AP,10,92.15,Science,0
1653,Biology Honors,10,92.83,Science,0
1654,United States History AP,10,89.57,Humanities,0
1655,Social Entrepreneurship I Honors,10,94.59,Entrepreneurship,1
1656,English Language and Composition AP,10,97.96,English,1
1657,French III Honors,10,94.01,Foreign Language,1
1658,Geometry Honors,10,95.37,Math,1
1659,Biology Honors,10,97.43,Science,1
1660,United States History AP,10,97.01,Humanities,1
1661,Psychology AP,10,96.35,Psychology,1
1662,English Language and Composition AP,10,89.58,English,0
1663,Spanish II,10,92.64,Foreign Language,0
1664,Geometry Honors,10,85.08,Math,2
1665,Biology Honors,10,87.09,Science,0
1666,United States History AP,10,91.03,Humanities,0
1667,International Relations Honors,10,93.95,Law and Politics,1
1668,English Language and Composition AP,10,94.29,English,1
1669,Spanish III Honors,10,89.33,Foreign Language,0
1670,Geometry,10,89.93,Math,0
1671,Biology,10,96.93,Science,1
1672,United States History AP,10,86.69,Humanities,0
1673,English Language and Composition AP,10,89.57,English,0
1674,Chinese IV Honors,10,97.07,Foreign Language,1
1675,Pre-Calculus Honors,10,85.81,Math,2
1676,Computer Science A AP,10,89.08,Science,0
1677,Biology Honors,10,92.94,Science,0
1678,Anatomy and Physiology Honors,10,93.8,Science,1
1679,United States History AP,10,87.69,Humanities,0
1680,English II Honors,10,84.54,English,2
1681,Spanish III,10,86.6,Foreign Language,2
1682,Geometry,10,84.57,Math,2
1683,Biology,10,89.54,Science,0
1684,United States History Honors,10,85.53,Humanities,2
1685,English II Honors,10,95.43,English,1
1686,French III Honors,10,85.56,Foreign Language,2
1687,Geometry,10,83.27,Math,2
1688,Biology,10,92.52,Science,0
1689,United States History Honors,10,89.71,Humanities,0
1690,Constitutional Law Honors,10,99.73,Law and Politics,1
1691,English Language and Composition AP,10,95.16,English,1
1692,Spanish Language and Culture AP (for Heritage Speakers),10,95.17,Foreign Language,1
1693,Pre-Calculus Honors,10,92.8,Math,0
1694,Biology Honors,10,97.03,Science,1
1695,Science Research I Honors,10,95.0,Science,1
1696,United States History AP,10,92.71,Humanities,0
1697,Government and Politics: United States AP,10,95.93,Humanities,1
1698,English II Honors,10,94.94,English,1
1699,Spanish III Honors,10,95.6,Foreign Language,1
1700,Geometry Honors,10,87.41,Math,0
1701,Computer Science Principles AP,10,95.95,Science,1
1702,Biology Honors,10,90.24,Science,0
1703,United States History AP,10,93.73,Humanities,1
1704,English Language and Composition AP,10,93.33,English,0
1705,Spanish Language and Culture AP (for Heritage Speakers),10,95.75,Foreign Language,1
1706,Pre-Calculus Honors,10,85.68,Math,2
1707,Data Structures Post-AP,10,92.35,Computer Science,0
1708,Biology Honors,10,88.9,Science,0
1709,United States History AP,10,87.03,Humanities,0
1710,Social Entrepreneurship I Honors,10,97.21,Entrepreneurship,1
1711,English Language and Composition AP,10,90.73,English,0
1712,Spanish II Honors,10,94.11,Foreign Language,1
1713,Chinese III Honors,10,97.14,Foreign Language,1
1714,Calculus AB AP,10,91.6,Math,0
1715,Computer Science Principles AP,10,98.35,Science,1
1716,Biology Honors,10,93.31,Science,0
1717,United States History AP,10,89.81,Humanities,0
1718,English Language and Composition AP,10,90.81,English,0
1719,Spanish III,10,96.51,Foreign Language,1
1720,Geometry Honors,10,96.7,Math,1
1721,Computer Science A AP,10,90.82,Science,0
1722,Biology Honors,10,89.63,Science,0
1723,United States History AP,10,83.68,Humanities,2
1724,English Language and Composition AP,10,89.95,English,0
1725,Spanish III Honors,10,94.01,Foreign Language,1
1726,Geometry,10,94.33,Math,1
1727,Biology Honors,10,82.75,Science,2
1728,United States History AP,10,95.47,Humanities,1
1729,English II Honors,10,95.22,English,1
1730,Chinese III,10,94.78,Foreign Language,1
1731,Geometry,10,92.33,Math,0
1732,Biology,10,95.85,Science,1
1733,United States History Honors,10,92.36,Humanities,0
1734,Constitutional Law Honors,10,98.8,Law and Politics,1
1735,English II Honors,10,91.58,English,0
1736,Spanish III Honors,10,92.03,Foreign Language,0
1737,Pre-Calculus,10,94.07,Math,1
1738,Computer Science Principles AP,10,91.92,Science,0
1739,Biology Honors,10,85.77,Science,2
1740,United States History AP,10,84.1,Humanities,2
1741,English Language and Composition AP,10,88.52,English,0
1742,Spanish Language and Culture AP (for Heritage Speakers),10,97.82,Foreign Language,1
1743,Geometry Honors,10,85.53,Math,2
1744,Computer Science Principles AP,10,90.44,Science,0
1745,Biology Honors,10,93.58,Science,1
1746,United States History AP,10,94.49,Humanities,1
1747,English II Honors,10,92.51,English,0
1748,Spanish III Honors,10,90.16,Foreign Language,0
1749,Geometry Honors,10,86.96,Math,0
1750,Computer Science Principles AP,10,92.89,Science,0
1751,Biology Honors,10,83.84,Science,2
1752,United States History AP,10,80.59,Humanities,2
1753,English Language and Composition AP,10,91.09,English,0
1754,Spanish III Honors,10,86.81,Foreign Language,0
1755,Geometry,10,87.6,Math,0
1756,Biology,10,90.93,Science,0
1757,United States History AP,10,80.25,Humanities,2
1758,English II Honors,10,86.96,English,0
1759,Spanish Language and Culture AP (for Heritage Speakers),10,90.13,Foreign Language,0
1760,Geometry,10,89.76,Math,0
1761,Computer Science A AP,10,78.79,Science,2
1762,Biology,10,89.51,Science,0
1763,United States History Honors,10,90.95,Humanities,0
1764,English II Honors,10,97.17,English,1
1765,Spanish III Honors,10,87.19,Foreign Language,0
1766,Algebra II,10,86.14,Math,2
1767,Chemistry Honors,10,82.53,Science,2
1768,United States History Honors,10,92.75,Humanities,0
1769,Human Geography AP,10,89.54,Humanities,0
1770,English Language and Composition AP,10,92.64,English,0
1771,Spanish Language and Culture AP (for Heritage Speakers),10,95.79,Foreign Language,1
1772,Pre-Calculus,10,95.84,Math,1
1773,Biology Honors,10,89.64,Science,0
1774,United States History AP,10,92.14,Humanities,0
1775,English Language and Composition AP,10,89.15,English,0
1776,Spanish Language and Culture AP (for Heritage Speakers),10,97.1,Foreign Language,1
1777,Geometry Honors,10,94.62,Math,1
1778,Computer Science Principles AP,10,96.25,Science,1
1779,Biology Honors,10,92.7,Science,0
1780,United States History AP,10,90.34,Humanities,0
1781,English Language and Composition AP,10,98.22,English,1
1782,Latin II Honors,10,100.43,Foreign Language,1
1783,Calculus AB AP,10,95.95,Math,1
1784,Biology Honors,10,97.97,Science,1
1785,Environmental Science AP,10,96.93,Science,1
1786,Science Research I Honors,10,95.0,Science,1
1787,United States History AP,10,100.76,Humanities,1
1788,English Language and Composition AP,10,89.39,English,0
1789,Latin II Honors,10,97.6,Foreign Language,1
1790,Geometry,10,92.35,Math,0
1791,Biology,10,90.85,Science,0
1792,United States History AP,10,87.03,Humanities,0
1793,English II Honors,10,93.0,English,0
1794,Spanish II,10,82.74,Foreign Language,2
1795,Geometry,10,79.92,Math,2
1796,Biology,10,85.54,Science,2
1797,United States History Honors,10,92.89,Humanities,0
1798,Constitutional Law Honors,10,94.51,Law and Politics,1
1799,English Language and Composition AP,10,90.9,English,0
1800,Spanish Language and Culture AP (for Heritage Speakers),10,93.83,Foreign Language,1
1801,Calculus AB AP,10,93.34,Math,0
1802,Computer Science A AP,10,95.82,Science,1
1803,Biology Honors,10,95.11,Science,1
1804,United States History AP,10,90.59,Humanities,0
1805,English Language and Composition AP,10,89.4,English,0
1806,Spanish IV Honors,10,97.61,Foreign Language,1
1807,Pre-Calculus Honors,10,86.94,Math,0
1808,Computer Science Principles AP,10,96.75,Science,1
1809,Biology Honors,10,90.33,Science,0
1810,United States History AP,10,89.24,Humanities,0
1811,Social Entrepreneurship I Honors,10,96.22,Entrepreneurship,1
1812,English Language and Composition AP,10,93.33,English,0
1813,French III Honors,10,89.28,Foreign Language,0
1814,Pre-Calculus,10,90.16,Math,0
1815,Biology,10,96.57,Science,1
1816,United States History AP,10,87.71,Humanities,0
1817,Social Entrepreneurship I Honors,10,95.5,Entrepreneurship,1
1818,English II Honors,10,84.06,English,2
1819,Latin II Honors,10,83.08,Foreign Language,2
1820,Pre-Calculus,10,88.38,Math,0
1821,Computer Science Principles AP,10,92.89,Science,0
1822,Biology Honors,10,79.15,Science,2
1823,United States History Honors,10,85.96,Humanities,2
1824,English Language and Composition AP,10,90.08,English,0
1825,French III Honors,10,91.42,Foreign Language,0
1826,Geometry Honors,10,91.31,Math,0
1827,Biology Honors,10,89.59,Science,0
1828,United States History AP,10,88.31,Humanities,0
1829,Social Entrepreneurship I Honors,10,99.05,Entrepreneurship,1
1830,English II Honors,10,92.26,English,0
1831,Chinese III Honors,10,84.24,Foreign Language,2
1832,Geometry,10,83.63,Math,2
1833,Biology,10,87.16,Science,0
1834,United States History Honors,10,87.28,Humanities,0
1835,International Relations Honors,10,89.53,Law and Politics,0
1836,English Language and Composition AP,10,94.36,English,1
1837,Spanish III Honors,10,96.18,Foreign Language,1
1838,Calculus AB AP,10,96.1,Math,1
1839,Computer Science A AP,10,97.36,Science,1
1840,Biology Honors,10,94.77,Science,1
1841,United States History AP,10,97.35,Humanities,1
1842,Psychology AP,10,96.5,Psychology,1
1843,English Language and Composition AP,10,92.58,English,0
1844,Chinese III,10,91.2,Foreign Language,0
1845,Pre-Calculus Honors,10,84.59,Math,2
1846,Computer Science Principles AP,10,94.01,Science,1
1847,Biology Honors,10,88.13,Science,0
1848,United States History AP,10,89.83,Humanities,0
1849,English Language and Composition AP,10,91.36,English,0
1850,Chinese III Honors,10,90.22,Foreign Language,0
1851,Calculus AB AP,10,89.96,Math,0
1852,Computer Science A AP,10,88.88,Science,0
1853,Biology Honors,10,93.66,Science,1
1854,United States History AP,10,87.54,Humanities,0
1855,Social Entrepreneurship I Honors,10,96.17,Entrepreneurship,1
1856,English II Honors,10,90.86,English,0
1857,Spanish III Honors,10,95.28,Foreign Language,1
1858,Pre-Calculus Honors,10,97.97,Math,1
1859,Computer Science Principles AP,10,98.11,Science,1
1860,Biology Honors,10,86.54,Science,2
1861,United States History AP,10,82.88,Humanities,2
1862,Constitutional Law Honors,10,97.6,Law and Politics,1
1863,English Language and Composition AP,10,93.29,English,0
1864,Spanish III Honors,10,93.71,Foreign Language,1
1865,Geometry,10,96.56,Math,1
1866,Biology Honors,10,90.73,Science,0
1867,United States History AP,10,95.42,Humanities,1
1868,International Relations Honors,10,96.74,Law and Politics,1
1869,English Language and Composition AP,10,93.57,English,1
1870,Spanish III Honors,10,96.02,Foreign Language,1
1871,Pre-Calculus Honors,10,97.09,Math,1
1872,Computer Science A AP,10,95.23,Science,1
